,Nom,Type,Identificateur WIGOS,Latitude,Longitude,Elevation,Detail url
201,Sanare,Land (fixed),0-854-0-222|primary,"13,5925","-1,3697",332,https://www.meteoburkina.bf/stations/202
202,Sangha,Land (fixed),0-854-0-223|primary,"11,18","0,16",299,https://www.meteoburkina.bf/stations/203
203,Sapeo,Land (fixed),0-854-0-224|primary,"12,5969","-1,7687",335,https://www.meteoburkina.bf/stations/204
204,Sapone,Land (fixed),0-854-0-084|primary,"12,05","-1,6",356,https://www.meteoburkina.bf/stations/205
205,Sapouy,Land (fixed),0-854-0-225|primary,"11,5461","-1,7731",117,https://www.meteoburkina.bf/stations/206
206,Saria,Land (fixed),0-854-0-085|primary,"12,2667","-2,15",280,https://www.meteoburkina.bf/stations/207
207,Sebba,Land (fixed),0-854-0-086|primary,"13,46","0,5332",264,https://www.meteoburkina.bf/stations/208
208,Seytenga,Land (fixed),0-854-0-088|primary,"13,9793","0,304",251,https://www.meteoburkina.bf/stations/209
209,Siby,Land (fixed),0-854-0-226|primary,"11,8647","-2,9762",280,https://www.meteoburkina.bf/stations/210
210,Sidéradougou,Land (fixed),0-854-0-227|primary,"10,6783","-4,2511",333,https://www.meteoburkina.bf/stations/211
211,Sindou,Land (fixed),0-854-0-089|primary,"10,6606","-5,1636",353,https://www.meteoburkina.bf/stations/212
212,Solenzo,Land (fixed),0-854-0-228|primary,"12,1798","-4,0833",306,https://www.meteoburkina.bf/stations/213
213,Somgande,Land (fixed),0-854-0-090|primary,"12,4052","-1,5063",294,https://www.meteoburkina.bf/stations/214
214,Soubakaniedougou,Land (fixed),0-854-0-229|primary,"10,4779","-4,9992",315,https://www.meteoburkina.bf/stations/215
215,Souri,Land (fixed),0-854-0-092|primary,"12,4299","-3,5151",276,https://www.meteoburkina.bf/stations/216
216,Sourou-Gassan,Land (fixed),0-854-0-230|primary,"12,82","-3,22",265,https://www.meteoburkina.bf/stations/217
217,Sourougbila,Land (fixed),0-854-0-231|primary,"12,4125","-1,8082",340,https://www.meteoburkina.bf/stations/218
218,Séguénega,Land (fixed),0-854-0-087|primary,"13,438","-1,9672",317,https://www.meteoburkina.bf/stations/219
219,Tanghin-Dassouri,Land (fixed),0-854-0-232|primary,"12,2796","-1,7169",353,https://www.meteoburkina.bf/stations/220
220,Tansila,Land (fixed),0-854-0-233|primary,"12,4153","-4,3872",469,https://www.meteoburkina.bf/stations/221
221,Tchériba,Land (fixed),0-854-0-234|primary,"12,2667","-3,0949",305,https://www.meteoburkina.bf/stations/222
222,Tenado,Land (fixed),0-854-0-236|primary,"12,1951","-2,6133",286,https://www.meteoburkina.bf/stations/223
223,Tenkodogo,Land (fixed),0-854-0-093|primary,"11,779","-0,3658",302,https://www.meteoburkina.bf/stations/224
224,Thiou-Koudougou,Land (fixed),0-854-0-237|primary,"11,9533","-2,1988",354,https://www.meteoburkina.bf/stations/225
225,Thiou-Ouahigouya,Land (fixed),0-854-0-238|primary,"13,8029","-2,6584",309,https://www.meteoburkina.bf/stations/226
226,Tikare,Land (fixed),0-854-0-239|primary,"13,7686","-2,0739",324,https://www.meteoburkina.bf/stations/227
227,Tinacoff,Land (fixed),0-854-0-095|primary,"14,9628","-0,1612",231,https://www.meteoburkina.bf/stations/228
228,Tiogo,Land (fixed),0-854-0-240|primary,"11,4529","-2,2172",328,https://www.meteoburkina.bf/stations/229
229,Tiébélé,Land (fixed),0-854-0-094|primary,"11,0976","-0,9219",273,https://www.meteoburkina.bf/stations/230
230,Toma,Land (fixed),0-854-0-097|primary,"12,7586","-2,8952",130,https://www.meteoburkina.bf/stations/231
231,Tongomayel,Land (fixed),0-854-0-254|primary,"14,0674","-1,4799",299,https://www.meteoburkina.bf/stations/232
232,Tougan,Land (fixed),0-854-0-098|primary,"13,0727","-3,071",305,https://www.meteoburkina.bf/stations/233
233,Tougouri,Land (fixed),0-854-0-099|primary,"13,313","-0,5236",288,https://www.meteoburkina.bf/stations/234
